name,gender
Sallamari,Female
Mercedes,Female
Leonel,Male
Cindy,Female
Tindra,Female
Tarleena,Female
Satu-Maarit,Female
Judit,Female
Suvituuli,Female
Seliina,Female
Yasmine,Female
Gerda,Female
Maria-Liisa,Female
Claes,Male
Sanna-Leena,Female
Ariel,Female
Eija-Riitta,Female
Alexa,Female
Ella-Maria,Female
Alla,Female
Anni-Maria,Female
Minna-Mari,Female
Mimi,Female
Sina,Female
Niko-Petteri,Male
Annabel,Female
Bettiina,Female
Kiti,Female
Li,Female
Daniella,Female
Rosalia,Female
Lyydi,Female
Katinka,Female
Liv,Female
Santra,Female
Eemil,Male
Jirka,Male
Eliisabet,Female
Viia,Female
Dagny,Female
Jasmi,Female
Ana,Female
Marjaleena,Female
Crista,Female
Liudmila,Female
Saskia,Female
Thanh,Female
Markonpoika,Male
Ulla-Britt,Female
Juliette,Female
Annaleena,Female
Mei,Female
Marija,Female
Nanni,Female
Thu,Female
Polina,Female
Inga-Britt,Female
Anne-Marja,Female
Carl-Erik,Male
Serena,Female
Milaja,Female
Hille,Female
Nicolina,Female
Tanya,Female
Elizaveta,Female
Mina,Female
Ida-Sofia,Female
Sabine,Female
Riitta-Maija,Female
Stephen,Male
Suvi-Päivikki,Female
Ihanelma,Female
Thelma,Female
Katri-Helena,Female
Tiitu,Female
Tatjaana,Female
Merike,Female
Iira,Female
Joy,Female
Saida,Female
Charlie,Male
Jekaterina,Female
Seelia,Female
Elissa,Female
Elsie,Female
Neelia,Female
Tuisku,Female
Märtha,Female
Kaisa-Leena,Female
Desire,Female
Eedla,Female
Jeremi,Male
Sarlotta,Female
Nia,Female
Omar,Female
Elida,Female
Yulia,Female
Hilpi,Female
Markit,Female
Ia,Female
Eelin,Female
Matintytär,Female
Alpertti,Male
Nova,Female
Cia,Female
Lisen,Female
Tania,Female
Ariana,Female
Rina,Female
Ljudmila,Female
Jenita,Female
Sesilia,Female
Nellie,Female
Emre,Male
Tiina-Liisa,Female
Beda,Female
Estrid,Female
Ann-Maj,Female
Katherine,Female
Halla,Female
Phuong,Female
Hussein,Female
Tarja-Leena,Female
Tyyni,Female
Kaj-Erik,Male
Vilina,Female
Ranja,Female
Anh,Female
Dolores,Female
Cornelia,Female
Raija-Leena,Female
Malva,Female
Jennica,Female
Hannaleena,Female
Maria-Leena,Female
Damien,Male
Ibrahim,Female
Wenla,Female
Freya,Female
Mariette,Female
Britt-Mari,Female
Mahamed,Female
Liliana,Female
Francesca,Female
Sanna-Liisa,Female
Eevastiina,Female
Aleksanteri,Male
Jani-Pekka,Male
Sara-Sofia,Female
Maari,Female
Lisette,Female
Pepita,Female
Eufemia,Female
Rosalie,Female
Henna-Maria,Female
Mohamud,Female
Marinka,Female
Kaneli,Female
Esa-Matti,Male
Fadumo,Female
Samantha,Female
Antintytär,Female
Mia-Maria,Female
Ellida,Female
Vivia,Female
Kastanja,Female
Celine,Female
Anna-Stina,Female
Adela,Female
Isaac,Male
Mohammed,Female
Pirjo-Leena,Female
Abigail,Female
Kaisa-Maria,Female
Niia,Female
Helén,Female
Irinja,Female
Eva-Liisa,Female
Pulmu,Female
Amélie,Female
Robertino,Male
Miia-Maria,Female
Sivi,Female
Pälvi,Female
Kata,Female
Marilla,Female
Lola,Female
Dana,Female
Mirette,Female
Marikka,Female
Nilla,Female
Tahvo,Male
Anna-Elina,Female
Gisela,Female
Salla-Maria,Female
Aino-Kaisa,Female
Janessa,Female
Eleanora,Female
Tarja-Liisa,Female
Ragni,Female
Virginia,Female
Ofelia,Female
José,Male
Dorothea,Female
Elice,Female
Laura-Maria,Female
Miitta,Female
Milla-Maria,Female
Onneli,Female
Merika,Female
Katrine,Female
Christiina,Female
Marjaliisa,Female
Kaspar,Male
Friida,Female
Linne,Female
Ellie,Female
Jannina,Female
Aletta,Female
Anna-Reetta,Female
Tiia-Mari,Female
Ruska,Female
Jenni-Maria,Female
Janiina,Female
Alejandro,Male
Albertiina,Female
Abdirahman,Female
Isadora,Female
Cesilia,Female
Oksana,Female
Marttiina,Female
Inge,Female
Inez,Female
Ann-Lis,Female
Tiina-Maija,Female
Timoteus,Male
Nina-Maria,Female
Luisa,Female
Dorrit,Female
Saara-Maria,Female
Safia,Female
Renja,Female
Nikita,Female
Fiina,Female
Jennina,Female
Lillian,Female
Raoul,Male
Therése,Female
Cilla,Female
Ilana,Female
Enne,Female
Moonika,Female
Leena-Kaisa,Female
Alida,Female
Milda,Female
Hanne-Mari,Female
Anna-Kristiina,Female
Tuomo,Male
Juhan,Male
Louisa,Female
Kiara,Female
Leia,Female
Antoinette,Female
Nur,Female
Eliana,Female
Leah,Female
Menni,Female
Darja,Female
Hilkka-Liisa,Female
Vadim,Male
Iréne,Female
Liisa-Maria,Female
Hildur,Female
Enja,Female
Selene,Female
Xenia,Female
Daisy,Female
Ulla-Maria,Female
Emeliina,Female
Zainab,Female
Vinski,Male
Anceliga,Female
Mari-Ann,Female
Iman,Female
Marja-Sisko,Female
Alena,Female
Farah,Female
Marielle,Female
Suzanne,Female
Nelma,Female
Lauha,Female
Jaako,Male
Inge-Maj,Female
Tuike,Female
Mikontytär,Female
Peppina,Female
Alyssa,Female
Runa,Female
Dora,Female
Safira,Female
Madelene,Female
Alinda,Female
Silvo,Male
Tilma,Female
Annelie,Female
Evgenia,Female
Eimi,Female
Anna-Emilia,Female
Iida-Sofia,Female
Adalia,Female
Senna,Female
Timontytär,Female
Marjetta,Female
Hermann,Male
Nadine,Female
Emili,Female
Anna-Marja,Female
Danielle,Female
Mari-Anna,Female
Riikka-Liisa,Female
Lee,Female
Gun-Maj,Female
Aniita,Female
Tyra,Female
Carl-Gustav,Male
Suometar,Female
Rafaela,Female
Ulla-Maj,Female
Juni,Female
Juhantytär,Female
Ewa,Female
Alvina,Female
Manuela,Female
Natalja,Female
Taiga,Female
Severin,Male
Eeva-Marja,Female
Annariina,Female
Irena,Female
Yusuf,Female
Celia,Female
Nonna,Female
Leyla,Female
Marlena,Female
Oxana,Female
Seija-Liisa,Female
Franz,Male
Ona,Female
Paola,Female
Adeline,Female
Abdulkadir,Female
Anisa,Female
Nona,Female
Maud,Female
Hedda,Female
Emiilia,Female
Suvi-Maria,Female
Chris,Male
Linda-Maria,Female
Maarita,Female
Linea,Female
Greetta,Female
Arina,Female
Majvor,Female
Maj-Gret,Female
Satu-Maria,Female
Kate,Female
Lynn,Female
Jarkko,Male
Yasin,Male
Kaur,Female
Paloma,Female
Nanette,Female
Hong,Female
Jemiina,Female
Lulu,Female
Mareena,Female
Anja-Riitta,Female
Gloria,Female
Sera,Female
Ethan,Male
Ritva-Leena,Female
Pirre,Female
Tiina-Maria,Female
Sylva,Female
Fransiina,Female
Kitty,Female
Lumikukka,Female
Aline,Female
Engla,Female
Rhea,Female
Ray,Male
Sarina,Female
Ann-Katrin,Female
Henna-Mari,Female
Carolin,Female
Oosa,Female
Amal,Female
Marlen,Female
Noelle,Female
Paju,Female
Ros-Mari,Female
Jiro,Male
Mianna,Female
Mirikli,Female
Ringa,Female
Annastina,Female
Norma,Female
Liubov,Female
Pirkitta,Female
Tiina-Mari,Female
Nitta,Female
Monna,Female
Eeka,Male
Elinor,Female
Yrsa,Female
Kaisa-Liisa,Female
Henrica,Female
Sharon,Female
Ludmila,Female
Maijastiina,Female
Ghita,Female
Lioudmila,Female
Anna-Maaria,Female
Jan-Anders,Male
Anna-Stiina,Female
Denice,Female
Linh,Female
Rauna,Female
Ainu,Female
Violetta,Female
Heloisa,Female
Merja-Riitta,Female
Agda,Female
Vivi-Ann,Female
Vikke,Male
Sirje,Female
Arianna,Female
Zara,Female
Maritza,Female
Mathilde,Female
Vendela,Female
Tiuku,Female
Charlott,Female
Peggy,Female
Sira,Female
Deniz,Male
Sahra,Female
Rigmor,Female
Vilmiina,Female
Florence,Female
Sallamaari,Female
Raakeli,Female
Khadija,Female
Alfhild,Female
Jetta,Female
Ea,Female
Simeoni,Male
Lise,Female
Claire,Female
Emilja,Female
Mirja-Leena,Female
Renata,Female
Hilve,Female
Ottiilia,Female
Anna-Karin,Female
Elif,Female
Fredriika,Female
Juha-Petteri,Male
Elliina,Female
Manda,Female
Ensi,Female
Tuula-Maija,Female
Aurinko,Female
Vanilla,Female
Marja-Helena,Female
Sari-Anne,Female
Rania,Female
Dorotea,Female
Jalmari,Male
Hampus,Male
Jasmiini,Female
Merete,Female
Ulla-Mari,Female
Mariita,Female
Marjanna,Female
Milli,Female
Janine,Female
Eea,Female
Yolanda,Female
Keiju,Female
Jamal,Male
Osman,Female
Violet,Female
Vella,Female
Riikka-Maria,Female
Lucy,Female
Rinna,Female
Anika,Female
Peppi-Lotta,Female
Helly,Female
Eugenia,Female
Hans-Erik,Male
Alisia,Female
Fredriikka,Female
Gun-Lis,Female
Zoe,Female
Priscilla,Female
Rosina,Female
Raini,Female
Mary-Ann,Female
Katjaana,Female
Urpu,Female
Karlo,Male
Nadejda,Female
Catrine,Female
Anne-Riitta,Female
Jean,Female
Sonya,Female
Nanny,Female
Selinda,Female
Sinja,Female
Catrin,Female
Rose-Maj,Female
Jamiel,Male
Stefanie,Female
Mirelle,Female
Vienna,Female
Zaida,Female
Chloe,Female
Edna,Female
Rilla,Female
Arja-Riitta,Female
Celeste,Female
Noor,Female
Kunto,Male
Maura,Female
Akuliina,Female
Henny,Female
Anna-Katariina,Female
Heikintytär,Female
Eela,Female
Emma-Sofia,Female
Sella,Female
Ann-Charlott,Female
Aleksia,Female
Ano,Male
Anja-Liisa,Female
Casandra,Female
Eliise,Female
Marguerite,Female
Hennariikka,Female
Savannah,Female
Anni-Sofia,Female
Liselott,Female
Ulla-Marja,Female
Zeinab,Female
Emir,Male
Anneka,Female
Nessa,Female
Hilde,Female
Jeannette,Female
Melek,Female
Albertina,Female
Janetta,Female
Joan,Female
Gunn,Female
Henniina,Female
Vieno,Male
Ljubov,Female
Miona,Female
Hani,Female
Eija-Leena,Female
Irja-Liisa,Female
Caterina,Female
Hafsa,Female
Eerin,Female
Eleni,Female
Annmari,Female
Anatoli,Male
Line,Female
Tatja,Female
Nanne,Female
Tianna,Female
Pirketta,Female
Manna,Female
Sumaya,Female
Hanna-Riitta,Female
Tutta,Female
Emerentia,Female
Ilmari,Male
Aulis,Male
Jousia,Male
Ristiina,Female
Verona,Female
Opri,Female
Alessa,Female
Elly,Female
Fatma,Female
Irmelin,Female
Salla-Maaria,Female
Sofiia,Female
Sara-Maria,Female
Aaprami,Male
Tita,Female
Meira,Female
Minella,Female
Nada,Female
Gunn-Britt,Female
Minh,Female
Eufrosyne,Female
Chiara,Female
Kathleen,Female
Emine,Female
Juhamatti,Male
Gabrielle,Female
Kirsimarja,Female
Valerie,Female
Tuuliina,Female
Vendla,Female
Jacqueline,Female
Asma,Female
Minda,Female
Thao,Female
Anni-Mari,Female
Misa,Male
Carmela,Female
Sole,Female
Lauren,Female
Hinni,Female
Margareth,Female
Jamina,Female
Sini-Tuulia,Female
Cathrine,Female
Julina,Female
Yasemin,Female
Joacim,Male
Viviana,Female
Serafiia,Female
Odette,Female
Aicha,Female
Karoline,Female
Sini-Maria,Female
Anna-Greta,Female
Evy,Female
Tuyet,Female
Eleanoora,Female
Egil,Male
Natali,Female
Minnamari,Female
Mae,Female
Liida,Female
Margitta,Female
Hagar,Female
Terja,Female
Jarintytär,Female
Minttu-Maaria,Female
Justina,Female
Oliwer,Male
Unni,Female
Renate,Female
Merit,Female
Jill,Female
Kiana,Female
Etta,Female
Flora,Female
Meh,Female
Vanilja,Female
Deborah,Female
Morgan,Male
Said,Female
Unnukka,Female
Gitta,Female
Huong,Female
Eveline,Female
Lotta-Maria,Female
Julietta,Female
Raina,Female
Sanna-Maarit,Female
Emmi-Lotta,Female
Harto,Male
Mitra,Female
Anina,Female
Emma-Lotta,Female
Corinne,Female
Kirsi-Maarit,Female
Vivika,Female
Miranna,Female
Hannakaisa,Female
Emina,Female
Minttu-Maria,Female
Andrea,Male
Anne-Kristiina,Female
Enya,Female
Miida,Female
Hannuntytär,Female
Angel,Female
Minna-Maarit,Female
Lise-Lotte,Female
Ha,Female
Liselotte,Female
Marja-Kaarina,Female
Jesse,Male
Sammy,Male
Meja,Female
Toive,Female
Adella,Female
Dalia,Female
Kaisa-Mari,Female
Kukka-Maria,Female
Arlene,Female
Annuli,Female
Eliza,Female
Sorella,Female
Jan-Henrik,Male
Miili,Female
Päivyt,Female
Jukantytär,Female
Marena,Female
Tarita,Female
Melody,Female
Savanna,Female
Julianne,Female
Pricilla,Female
Marje,Female
Eirik,Male
Anne-Marita,Female
Minna-Leena,Female
Lova,Female
Minna-Riitta,Female
Jemima,Female
Donna,Female
Mikantytär,Female
Minessa,Female
Arita,Female
Beeda,Female
Mahmoud,Male
Muisto,Female
Hymy,Female
Tuula-Marja,Female
Jenna-Maria,Female
Vivianna,Female
Suvi-Maaria,Female
Angelique,Female
Maret,Female
Rosalina,Female
Ainamo,Female
Emerik,Male
Agata,Female
Toivikki,Female
Tiina-Riitta,Female
Merina,Female
Merja-Leena,Female
Lana,Female
Trang,Female
Gunda,Female
Gina,Female
Alexandria,Female
Zakaria,Male
Hodan,Female
Agatha,Female
Ulpukka,Female
Tähti,Female
Juudit,Female
Berta,Female
Eloisa,Female
Tii,Female
Kaari,Female
Cajsa,Female
Dylan,Male
Edita,Female
Suzan,Female
Veea,Female
Lilianna,Female
Mona-Lisa,Female
Soraja,Female
Maryan,Female
Meliina,Female
Ayan,Female
Mataleena,Female
Christofer,Male
Una,Female
Anna-Karoliina,Female
Sunna,Female
Henriina,Female
Karintytär,Female
Mella,Female
Mirkku,Female
Sulevi,Female
Helin,Female
Eeva-Stiina,Female
Saminpoika,Male
Lyylikki,Female
Soraya,Female
Ariela,Female
Hanna-Reetta,Female
Alexina,Female
Oivi,Female
Marja-Kaisa,Female
Stefania,Female
Joanne,Female
Nemi,Female
Angelo,Male
Hamdi,Female
Izabella,Female
Halima,Female
Cristiina,Female
Hele,Female
Anne-May,Female
Ann-Helen,Female
Pirta,Female
Anya,Female
Daalia,Female
Joona,Male
Sanfrid,Male
Elliida,Female
Eevaliisa,Female
Satu-Marja,Female
Sorja,Female
Gia,Female
Iina-Maria,Female
Gitte,Female
Minette,Female
Margarethe,Female
Anna-Helena,Female
Janne-Pekka,Male
Asha,Female
Marwa,Female
Le,Female
Ronya,Female
Satu-Maaria,Female
Tiana,Female
Simona,Female
Pirkko-Leena,Female
Nhi,Female
Cara,Female
Wilho,Male
Mildred,Female
Meija,Female
Frances,Female
Ann-Catrin,Female
Vivianne,Female
Anna-Lotta,Female
Nelle,Female
Terttu-Liisa,Female
Maleena,Female
Minna-Kaisa,Female
Matti-Pekka,Male
Lianna,Female
Elaine,Female
Sirkka-Leena,Female
Ismail,Female
Görel,Female
Jamila,Female
Venni,Female
Leonie,Female
Heléne,Female
Mi,Female
Miku,Male
Huda,Female
Constance,Female
Yasmina,Female
Milea,Female
Villiina,Female
Marléne,Female
Wera,Female
Catalina,Female
Tuuli-Maria,Female
Marinella,Female
Caius,Male
Jenika,Female
Mainikki,Female
Freija,Female
Aino-Sofia,Female
Eda,Female
Silla,Female
Adanna,Female
Chantal,Female
Matilde,Female
Riitu,Female
Daavid,Male
Sarika,Female
Lan,Female
Tora,Female
Mindi,Female
Salla-Maarit,Female
Sol-Britt,Female
Isra,Female
Pii,Female
Varvara,Female
Nea-Maria,Female
Pär,Male
Kirsten,Female
Gustava,Female
Adolfina,Female
Anetta,Female
Tarina,Female
Magda,Female
June,Female
Jeanne,Female
Kaija-Riitta,Female
Tiina-Kaisa,Female
Jeri,Male
Esra,Female
Aino-Liisa,Female
Oma,Female
Helmi-Maria,Female
Meryem,Female
Eva-Stina,Female
Lene,Female
Viva,Female
Aya,Female
Serina,Female
Pedro,Male
Aliisi,Female
Elli-Maija,Female
Sirena,Female
Aleksantra,Female
Leanna,Female
Clary,Female
Gunlög,Female
Niini,Female
Renée,Female
Anmari,Female
Akseli,Male
Evan,Male
Angervo,Female
Naima,Female
Annemarie,Female
Anni-Kaisa,Female
Anki,Female
Reine,Female
Katia,Female
Ingemo,Female
Kersti,Female
Jessiina,Female
Juska,Male
Kamomilla,Female
Anastassia,Female
Aleksandrovna,Female
Jenni-Mari,Female
Liisa-Maija,Female
Kuura,Female
Vanja,Female
Eliisi,Female
Elli-Maria,Female
Eva-Lisa,Female
Fridolf,Male
Neve,Female
Aana,Female
Raakkel,Female
Tiila,Female
Kariina,Female
Eleonor,Female
Olena,Female
Rosalinda,Female
Niina-Maria,Female
Edda,Female
Erkinpoika,Male
Hope,Female
Venja,Female
Sipriina,Female
Layla,Female
Vivien,Female
Helkky,Female
Andréa,Female
Wanda,Female
Anu-Riikka,Female
Muusa,Female
Vilpas,Male
Uma,Female
Nadezhda,Female
Lykke,Female
Nimo,Female
Inka-Maria,Female
Ayla,Female
Sini-Maaria,Female
Kirsi-Mari,Female
Jama,Female
Leena-Maria,Female
Mĺns,Male
Van,Female
Etti,Female
Laine,Female
Sikuriina,Female
Maren,Female
Thyra,Female
Cristine,Female
Anna-Riina,Female
Valvikki,Female
Marjo-Liisa,Female
Francisco,Male
Dahlia,Female
Valentiina,Female
Tiiti,Female
Lise-Lott,Female
Sanna-Riikka,Female
Brianna,Female
Liza,Female
Viona,Female
Roza,Female
Tova,Female
Vesanpoika,Male
Maileena,Female
Aino-Elina,Female
Riina-Maria,Female
Jonna-Maria,Female
Albina,Female
Meerit,Female
Annimari,Female
Juanita,Female
Emmi-Sofia,Female
Eeva-Mari,Female
Moritz,Male
Yen,Female
María,Female
Juli,Female
Brigitte,Female
Hetti,Female
Birit,Female
Taisia,Female
Ros-Marie,Female
Ying,Female
Silmu,Female
Aslan,Male
Merituulia,Female
Tiffany,Female
Sanne,Female
Aimi,Female
Noora-Maria,Female
Signhild,Female
Melita,Female
Beea,Female
Penni,Female
Irma-Liisa,Female
Vilho,Male
Bilal,Male
Leena-Marja,Female
Anuliina,Female
Tuomikki,Female
Marjana,Female
Katarine,Female
Aleksina,Female
Priitta,Female
Vilda,Female
Miljaana,Female
Ruby,Female
Juha-Petri,Male
Kristella,Female
Jannike,Female
Liidia,Female
Jessina,Female
Rahma,Female
Kaisli,Female
Amalie,Female
Medina,Female
Ancela,Female
Scarlett,Female
Anh,Male
Birkitta,Female
Kylli,Female
Anna-Maarit,Female
Meritta,Female
Alia,Female
Siiri-Sofia,Female
Esme,Female
Amilia,Female
Maijaliisa,Female
Malvina,Female
Vladislav,Male
Maritsa,Female
Veela,Female
Theodora,Female
Pekantytär,Female
Ayaan,Female
Ullamaija,Female
Hanna-Maaria,Female
Iiri,Female
Diane,Female
Leija,Female
Hendrik,Male
Vladimirovna,Female
Taava,Female
Elanor,Female
Eeda,Female
Annaliina,Female
Anneliina,Female
Jenica,Female
Safiya,Female
Emmaliina,Female
Juulianna,Female
Roi,Male
Marjo-Riikka,Female
